param,group
TOPWET,Topography
SLOPE_PCT,Topography
ELEV_STD_M_BASIN,Topography
ELEV_SITE_M,Topography
ASPECT_NORTHNESS,Topography
ASPECT_EASTNESS,Topography
ASPECT_DEGREES,Topography
SILTAVE,Soil
SANDAVE,Soil
ROCKDEPAVE,Soil
other_frac,Soil
organic_frac,Soil
OMAVE,Soil
NO4AVE,Soil
NO200AVE,Soil
NO10AVE,Soil
KFACT_UP,Soil
HGVAR,Soil
HGD,Soil
HGCD,Soil
HGC,Soil
HGBD,Soil
HGBC,Soil
HGB,Soil
HGAD,Soil
HGAC,Soil
HGA,Soil
CLAYAVE,Soil
BDAVE,Soil
water_frac,Land Cover
RIP100_PLANT,Land Cover
RIP100_FOREST,Land Cover
RIP100_DEV,Land Cover
RIP100_11,Land Cover
FORESTNLCD06,Land Cover
DEVNLCD06,Land Cover
DEVMEDNLCD06,Land Cover
DEVLOWNLCD06,Land Cover
DEVHINLCD06,Land Cover
WTDEPAVE,Groundwater
STREAMS_KM_SQ_KM,Geomorphology
STRAHLER_MAX,Geomorphology
DRAIN_SQKM,Geomorphology
BAS_COMPACTNESS,Geomorphology
PRECIP_SEAS_IND,Climate
SNOW_PCT_PRECIP,Climate
WOODYWETNLCD06,Land Cover
WATERNLCD06,Land Cover
VarB,Soil
soil_porosity,Soil
soil_depth_statsgo,Soil
soil_depth_pelletier,Soil
soil_conductivity,Soil
SNOWICENLCD06,Land Cover
slope_fdc,Topography
silt_frac,Soil
SHRUBNLCD06,Land Cover
sand_frac,Soil
runoff_ratio,Geomorphology
RIP100_95,Geomorphology
RIP100_90,Geomorphology
RIP100_82,Geomorphology
RIP100_81,Geomorphology
RIP100_71,Geomorphology
RIP100_52,Geomorphology
RIP100_43,Geomorphology
RIP100_42,Geomorphology
RIP100_41,Geomorphology
RIP100_31,Geomorphology
RIP100_24,Geomorphology
RIP100_23,Geomorphology
RIP100_22,Geomorphology
RIP100_21,Geomorphology
RIP100_12,Geomorphology
RFACT,Soil
RestrictDepth,Soil
PLANTNLCD06,Land Cover
PERMAVE,Geomorphology
PercentResid,Geomorphology
PASTURENLCD06,Land Cover
ParentMaterial,Soil
MIXEDFORNLCD06,Land Cover
max_water_content,Soil
MAINSTEM_SINUOUSITY,Geomorphology
GRASSNLCD06,Land Cover
glim_2nd_class_frac,Geomorphology
glim_1st_class_frac,Geomorphology
geol_porostiy,Geomorphology
geol_permeability,Geomorphology
EVERGRNLCD06,Land Cover
EMERGWETNLCD06,Land Cover
ELEV_MIN_M_BASIN,Topography
ELEV_MEDIAN_M_BASIN,Topography
ELEV_MEAN_M_BASIN,Topography
ELEV_MAX_M_BASIN,Topography
DEVOPENNLCD06,Land Cover
DECIDNLCD06,Land Cover
CROPSNLCD06,Land Cover
clay_frac,Soil
carbonate_rocks_frac,Soil
BARRENNLCD06,Land Cover
AWCAVE,Geomorphology
aridity,Climate
